Suffix,City,Inhabitant_term,Country
ese,Medan,Medanese,Indonesia
er,Detroit,Detroiter,United States
er,Montreal,Montrealer,Canada
ian,Busan,Busanian,South Korea
ite,Seattle,Seattleite,United States
i,Lucknow,Lakhnawi,India
i,Mashhad,Mashhadi,Iran
an,Dubai,Dubaian,United Arab Emirates
an,San Francisco,San Franciscan,United States
i,Faisalabad,Faisalabadi,Pakistan
an,San Diego,San Diegan,United States
i,Jaipur,Jaipuri,India
ian,Athens,Athenian,Greece
an,Addis Ababa,Addis Ababan,Ethiopia
nese,Brasilia,Brasiliense,Brazil
er,Budapest,Budapester,Hungary
an,Kyiv,Kyivan,Ukraine
ni,Sanaa,Sanaani,Yemen
an,Rome,Roman,Italy
ite,Pyongyang,Pyongyangite,North Korea
an,Minneapolis,Minneapolitan,United States
an,Malang,Malangan,Indonesia
er,Stuttgart,Stuttgarter,Germany
ite,Brooklyn,Brooklynite,United States
a,Guayaquil,Guayaquilea,Ecuador
an,Lisbon,Lisboan,Portugal
ite,Cawnpore,Kanpurite,India
n,Tampa,Tampan,United States
ite,Denver,Denverite,United States
ese,Medellin,Medellinense,Colombia
i,Mirzapur,Mirzapuri,India
er,Hamburg,Hamburger,Germany
ite,Daegu,Daeguite,South Korea
nese,Fortaleza,Fortalezense,Brazil
kar,Nagpur,Nagpurkar,India
ite,Queens,Queensite,United States
n,Accra,Accran,Ghana
i,Ghaziabad,Ghaziabadi,India
ite,Brisbane,Brisbanite,Australia
ian,Baku,Bakuvian,Azerbaijan
ite,Vancouver,Vancouverite,Canada
ense,Manaus,Manauense,Brazil
an,Baltimore,Baltimorean,United States
an,Harare,Hararean,Zimbabwe
an,Las Vegas,Las Vegan,United States
er,Phnom Penh,Phnom Penher,Cambodia
av,St. Louis,St.Louisan,United States
ian,Vadodara,Barodian,India
ite,Vishakhapatnam,Vizagite,India
no,Quito,Quiteno,Ecuador
n,Tijuana,Tijuanan,Mexico
i,Indore,Indori,India
ese,Vienna,Viennese,Austria
ese,Ecatepec,Ecatepequense,Mexico
an,Orlando,Orlandoan,United States
ine,Aleppo,Aleppine,Syria
an,Sacramento,Sacramentan,United States
ian,San Antonio,San Antonian,United States
kar,Thane,Thanekar,India
er,Bucharest,Bucharester,Romania
no,Curitiba,Curitibano,Brazil
i,Multan,Multani,Pakistan
ian,Warsaw,Varsovian,Poland
i,Bhopal,Bhopali,India
ene,Damascus,Damascene,Syria
ian,Brussels,Brusselian,Belgium
no,Montevideo,montevideano,Uruguay
er,Pittsburgh,Pittsburgher,United States
an,Cincinnati,Cincinnatian,United States
i,Mosul,Mosuli,Iraq
ite,Manhattan,Manhattanite,United States
ense,Tegucigalpa,tegucigalpense,Honduras
er,Cleveland,Clevelander,United States
i,Mecca,Makki,Saudi Arabia
ense,Recife,Recifense,Brazil
tan,Indianapolis,Indianapolitan,United States
ite,Austin,Austinite,United States
an,Semarang,Semarangan,Indonesia
vi,Ludhiana,Ludhianvi,India
er,Stockholm,Stockholmer,Sweden
no,Puebla,Poblano,Mexico
i,Jamshedpur,Jamshedpuri,India
i,Tabriz,Tabrizi,Iran
n,Sofia,Sofian,Bulgaria
an,Charlotte,Charlottean,United States
kar,Nasik,Nashikkar,India
ense,Porto Alegre,Porto-alegrense,Brazil
n,Valencia,Valencian,Venezuela
an,Abu Dhabi,Abu Dhabian,United Arab Emirates
no,Zapopan,Zapopano,Mexico
ite,Bronx,Bronxite,United States
er,Amsterdam,Amsterdammer,Netherlands
ite,Kharkiv,Kharkivite,Ukraine
iya,Khulna,Khulnaiya,Bangladesh
i,Faridabad,Faridabadi,India
ense,Goiania,goianiense,Brazil
ian,Belgrade,Belgradian,Serbia
ese,Milan,Milanese,Italy
kar,Aurangabad,Aurangabadkar,India
er,Copenhagen,Copenhagener,Denmark
er,Auckland,Aucklander,New Zealand
ese,Makassar,Makassarese,Indonesia
an,Milwaukee,Milwaukeean,United States
ian,Rajkot,Rajkotian,India
er,Prague,Praguer,Czechia
ero,Barranquilla,Barranquillero,Colombia
ense,Guarulhos,guarulhense,Brazil
an,Mandalay,Mandalayan,Myanmar
an,Adelaide,Adelaidean,Australia
ense,Porto,Portuense,Portugal
an,Rosario,Rosarían,Argentina
an,Helsinki,Helsinkian,Finland
i,Jabalpur,Jabalpuri,India
i,Ahvaz,Ahvazi,Iran
an,Honduras,"	
Honduran",United States
ian,Calgary,Calgarian,Canada
kar,Vasai,Vasaikar,India
ian,Jacksonville,Jacksonvillian,United States
i,Varanasi,Banarasi,India
awi,Hargeysa,Hargeysaawi,Somalia
i,Medina,Medani,Saudi Arabia
i,Srinagar,Srinagari,India
er,Dublin,Dubliner,Ireland
ian,Ulsan,Ulsanian,South Korea
iya,Amritsar,Amritsariya,India
er,Salt Lake,Salt Laker,United States
ian,Aligarh,Aligarian,India
ili,Tbilisi,Tbiliseli,Georgia
ian,Guwahati,Guwahatian,India
i,Fes,Fassi,Morocco
n,Sevilla,Sevillan,Spain
ense,Mexicali,Mexicalense,Mexico
ian,Nashville,Nashvillian,United States
si,Yerevan,Yerevantsi,Armenia
ite,Ranchi,Ranchite,India
ian,Chandigarh,Chandigarhian,India
ian,Edmonton,Edmontonian,Canada
ite,Raleigh,Raleighite,United States
an,Barquisimeto,Barquisimetan,Venezuela
an,Voronezh,Voronezhan,Russia
ian,Changwon,Changwonian,South Korea
ian,Bogor,Bogorian,Indonesia
i,Jodhpur,Jodhpuri,India
ense,Managua,managuense,Nicaragua
ense,Maceio,Maceioense,Brazil
ian,Louisville,Louisvillian,United States
n,Odesa,Odesan,Ukraine
i,Islamabad,Islamabadi,Pakistan
i,Raipur,Raipuri,India
no,Arequipa,Arequipeno,Peru
n,Quetta,Quettan,Pakistan
n,Ottawa,Ottawan,Canada
no,Asmara,Asmarino,Eritrea
ite,Jerusalem,Jerusalemite,Israel
an,Riga,Rigan,Latvia
er,Zagreb,Zagreber,Croatia
ian,Vilnius,Vilnian,Lithuania
er,Winnipeg,Winnipegger,Canada
er,Quebec ,Quebecer,Canada
an,Skopje,Skopjan,Macedonia
an,Djibouti,Djiboutian,Djibouti
an,San Salvador,Sansalvadoran,El Salvador
ar,The Hague,Hagenaar,Netherlands
no,Asuncion,Asunceno,Paraguay
an,Bratislava,Bratislavan,Slovakia
er,Tallinn,Tallinner,Estonia
i,Beirut,Beiruti,Lebanon
ian,Cape Town,Capetonian,South Africa
s,Tirana,Tiranas,Albania
an,Sarajevo,Sarajevan,Bosnia and Herzegovina
ian,Wellington,Wellingtonian,New Zealand
n,Nicosia,Nicosian,Cyprus
ense,Sucre,Sucrense,Bolivia
ian,Gibraltar,Gibraltarian,Gibraltar
no,Malabo,Malabeno,Equatorial Guinea
s,Pristina,Prishtinas,Kosovo
ian,Podgorica,Podgorician,Montenegro
ese,Bern,Bernese,Switzerland
er,Luxembourg,Luxembourger,Luxembourg
is,Cayenne,Cayennais,French Guiana
an,Monaco,Monacan,Monaco
ese,San Marino,San marinese,San Marino
ian,Vatican City,Vaticanian,Vatican City
ian,Bareilly,Bareillian,India
n,Oklahoma City,Oklahoman,United States
yn,Dnipro,Dniprianyn,Ukraine
no,Zamboanga City,Zamboangeano,Philippines
er,Bridgeport,Bridgeporter,United States
no,Morelia,Moreliano,Mexico
no,Cebu City,Cebuano,Philippines
an,Coimbatore,Coimbatorean,India
ense,Teresina,teresinense,Brazil
i,Solapur,Solapuri,India
ian,Tangier,Tangierian,Morocco
i,Kermanshah,Kermashahi,Iran
ense,Aguascalientes,Aguascalentense,Mexico
i,Marrakech,Marrakshi,Morocco
ani,Donetsk,Donchyani,Ukraine
ian,New Orleans,New Orleanian,United States
ite,Trichinopoly,Tiruchiite,India
ense,Naucalpan de Juarez,Naucalpense,Mexico
ero,Santiago de Cuba,santiaguero,Cuba
ense,Padang,Padangnese,Indonesia
no,Santiagueno,santiagueano,Chile
ian,Fort Worth,Fort Worthian,United States
ite,Hartford,Hartfordite,United States
no,Taguig City,Taguigeano,Philippines
esne,Cancun,Cancunense,Mexico
i,Moradabad,Moradabadi,India
ese,Turin,Turinese,Italy
ian,Tucson,Tucsonian,United States
iya,Jalandhar,Jalandhariya,India
ais,Marseille,Marseillais,France
ense,Saltillo,Saltillense,Mexico
ense,Hermosillo,Hermosillense,Mexico
no,Cochabamba,Cochabambino,Bolivia
ite,Bhubaneshwar,Bhubaneswarite,India
an,Honolulu,Honolulan,United States
an,Thessaloniki,Thessalonian,Greece
ense,Culiacan,Culiacanense,Mexico
n,Omaha,Omahan,United States
no,Queretaro,Queretano,Mexico
ian,Krakow,Cracovian,Poland
ense,Abaete,abaetense,Brazil
no,Palermo,Palermitano,Colombia
an,El Paso,El Pasoan,United States
ine,Bilbao,Bilbaine,Spain
i,Homs,Homsi,Syria
ian,Nottingham,Nottinghamian,United Kingdom
an,Albuquerque,Albuquerquean,United States
vi,Patiala,Patialvi,India
n,Samarinda,Samarindan,Indonesia
no,Cucuta,Cucuteano,Colombia
kar,Dhule,Dhulekar,India
awi,Burco,Burcaawi,Somalia
ite,Trivandrum,Trivandrumite,India
ense,Nampula,Nampulense,Mozambique
i,Kerman,Kermani,Iran
n,Mississauga,Mississaugan,Canada
an,Fresno,Fresnan,United States
n,Tulsa,Tulsan,United States
ni,Latakia,Latakani,Syria
no,Dasmarinas,Dasmarineano,Philippines
ite,Warangal,Warangalite,India
awi,Hamah,Hamawi,Syria
ian,Vellore,Vellorian,India
ese,Macau,Macanese,Macau
ite,Kochi,Kochite,India
i,Gorakhpur,Gorakhpuri,India
n,Zaragoza,Zaragozan,Spain
ian,Wroclaw,Wroclawian,Poland
eano,Acapulco de Juarez,Acapulqueano,Mexico
no,Murcia,Murciano,Spain
ense,Tlaquepaque,Tlaquepaquense,Mexico
ense,Villavicencio,Villavicense,Colombia
ense,Tlalnepantla,Tlalnepantlense,Mexico
ian,Sargodha,Sargodhian,Pakistan
ense,Durango,Duranguense,Mexico
ian,Guntur,Gunturian,India
no,Sorocaba,sorocabano,Brazil
i,Bhavnagar,Bhavnagari,India
ite,Noida,Noidite,India
er,Rotterdam,Rotterdammer,Netherlands
ian,Benghazi,Benghazian,Libya
no,Chimalhuacan,Chimalhuacano,Mexico
an,Mangalore,Mangalorean,India
ian,Glasgow,Glaswegian,United Kingdom
an,Las Pinas City,Las Pinan,Philippines
ian,Knoxville,Knoxvillian,United States
ite,Jurong,Jurong,China
er,Gothenburg,Gothenburger,Sweden
ese,Kuantan,Kuantanese,Malaysia
ite,Raurkela,Rourkelite,India
ia,Cuttack,Katakia,India
ian,Bacolod,Bacolodian,Philippines
ense,Uberlandia,Uberlandense,Brazil
ian,Tumkur,Tumkurian,India
ite,Durban,Durbanite,South Africa
ense,Irapuato,Irapuatense,Mexico
ian,Brampton,Bramptonian,Canada
ian,Bakersfield,Bakersfieldian,United States
no,Cuiaba,cuiabano,Brazil
ese,Genoa,Genoese,Italy
ian,Durgapur,Durgapurian,India
ian,Bristol,Bristolian,United Kingdom
ian,Asansol,Asansolians,India
kar,Kolhapur,Kolhapurkar,India
an,Nellore,Nellorean,India
kar,Nanded,Nandedkar,India
kar,Amravati,Amravatikar,India
ense,Londrina,Londrinense,Brazil
ite,Akron,Akronite,United States
i,Samarkand,Samarkandi,Uzbekistan
ense,Ixtapaluca,Ixtapaluquense,Mexico
no,Ibague,Ibaguereano,Colombia
ano,Salta,Salteano,Argentina
i,Yazd,Yazdi,Iran
i,Ardabil,Ardabili,Iran
ian,Agartala,Agartalian,India
an,Ndola,Ndolean,Zambia
no,Soacha,Suachuno,Colombia
tan,Sevastopol,Sevastopolitan,Ukraine
ite,Pohang,Pohangite,South Korea
er,Sheffield,Sheffielder,United Kingdom
i,Aden,Adeni,Yemen
an,Kitwe,Kitwean,Zambia
no,Monteria,Monteriano,Colombia
no,Imus,Imuseano,Philippines
ite,Jammu,Jammuites,India
ian,Tinnevelly,Tirunelvelian,India
an,Johor Bahru,Johor Bahruans,Malaysia
ian,Toulouse,Toulousian,France
er,Staten Island,Staten Islander,United States
ite,Belgaum,Belgaumites,India
i,Sylhet,Sylheti,Bangladesh
i,Jamnagar,Jamnagari,India
tan,Florianopolis,Florianopolitan,Brazil
awi,Berbera,Barbaraawi,Somalia
ite,Worthing,Worthingite,United Kingdom
ano,Mandaluyong City,Mandaleano,Philippines
er,Harrisburg,Harrisburger,United States
er,Salt Lake City,Salt Laker,United States
ense,Lanus,lanusense,Argentina
nese,Manado,Manadonese,Indonesia
ite,Reno,Renoites,United States
kar,Jalgaon,Jalgaonkar,India
er,Pyeongtaek,Pyeongtaeker,South Korea
an,Kurnool,Kurnoolian,India
er,Little Rock,Little Rocker,United States
an,Melaka,Malaccan,Malaysia
ese,Bandung,Bandungese,Indonesia
er,Zurich,Zuricher,Switzerland
ite,Spokane,Spokanite,United States
kar,Sangli,Sanglikar,India
er,Oakland,Oaklander,United States
no,Manizales,Manizaleano,Colombia
ano,Veracruz,Veracruzano,Mexico
ano,Cusco,cuzqueano,Peru
ano,Xalapa,Xalapeano,Mexico
ian,Trabzon,Trapezian,Turkey
kar,Akola,Akolekar,India
an,Aomori,Aomorian,Japan
an,Boise,Boisean,United States
ite,Winston-Salem,Winston-Salemite,United States
ite,Seremban,Serembanite,Malaysia
ense,Binan,Biananense,Philippines
ense,Tepic,Tepicense,Mexico
i,Bhagalpur,Bhagalpuri,India
ian,Bellary,Ballarians,India
ero,Maracay,Maracayero,Venezuela
an,Chattanooga,Chattanoogan,United States
ese,Bologna,Bolognese,Italy
ian,Kakinada,Kakinadian,India
iya,Darbhanga,Darbhangiya,India
chanin,Plovdiv,Plovdivchanin,Bulgaria
ano,Cainta,Cainteano,Philippines
ine,Florence,Florentine,Italy
ese,Taunggyi,Taunggese,Myanmar
ense,Betim,Betinense,Brazil
ano,Iquitos,Iquiteano,Peru
ian,Scranton,Scrantonian,United States
iya,Rohtak,Rohtakiya,India
on,Butuan,Butuanon,Philippines
no,Petare,Petareano,Venezuela
ense,Bauru,bauruense,Brazil
no,Anapolis,Anapolino,Brazil
ian,Coventry,Coventrian,United Kingdom
on,Iligan,Iliganon,Philippines
er,Youngstown,Youngstowner,United States
no,Cabuyao,Cabuyeano,Philippines
er,Utrecht,Utrechter,Netherlands
ian,Pensacola,Pensacolian,United States
eli,Pokhara,Pokhareli,Nepal
ite,Sasaram,Sasaramite,India
no,Corrientes,correntino,Argentina
no,Neiva,Neivano,Colombia
kar,Ahmadnagar,Ahmednagarkar,India
ian,Antofagasta,Antofagastian,Chile
is,Nice,Nicois,France
tan,Simferopol,Simferopolitan,Ukraine
iya,Alwar,Alwariya,India
no,Alicante,alicantino,Spain
ian,Huntsville,Huntsvillian,United States
ense,Petrolina,petrolinense,Brazil
iya,Sambalpur,Sambalpuriya,India
an,Tampere,Tamperean,Finland
i,Debrecen,debreceni,Hungary
ense,Pelotas,Pelotense,Brazil
ite,Ann Arbor,Ann Arborite,United States
i,Bijapur,Bijapuri,India
an,Sukabumi,Sukabumian,Indonesia
kar,Ratnagiri,Ratnagirikar,India
ese,Bari,Barese,Italy
is,Nantes,Nantais,France
no,Coatzacoalcos,Coatzacoalqueano,Mexico
karan,Thrissur,Thrissurkaran,India
ian,Asheville,Ashevillan,United States
no,Tanza,Tanzeano,Philippines
i,Kasur,Kasuri,Pakistan
er,Mannheim,Mannheimer,Germany
kar,Panvel,Panvelkar,India
ite,Lansing,Lansingite,United States
no,Zarzal,Zarzaleno,Colombia
ese,Catania,Catanese,Italy
kar,Parbhani,Parbhanikar,India
ense,Paulista,paulistense,Brazil
n,Oaxaca,Oaxacan,Mexico
n,Armenia,Armenian,Colombia
ense,Coacalco,Coacalquense,Mexico
ian,Montpellier,Montpellirian,France
ian,Stockport,Stopfordian,United Kingdom
an,Tampico,Tampican,Mexico
i,Bihar,Bihari,India
ano,Petropolis,petropolitano,Brazil
no,Navotas,Navoteano,Philippines
n,Comilla,Comillian,Bangladesh
ian,Bradford,Bradfordian,United Kingdom
no,Tagum,Tagumeano,Philippines
an,Vigo,	Vigoan,Spain
ian,Ismailia,Ismailian,Egypt
ois,Strasbourg,Strasbourgeois,France
ite,Anchorage,Anchoragite,United States
er,Graz,Grazer,Austria
i,Karimnagar,Karimnagari,India
er,South Bend,South Bender,United States
i,Dewas,Dewasi,India
ano,Sincelejo,Sincelejano,Colombia
ano,Tacna,Tacneano,Peru
hin,Lucena,Lucenahin,Philippines
n,Bukhara,Bukharan,Uzbekistan
enaar,Maastricht,Maastrichtenaar,Netherlands
i,Farrukhabad,Farrukhabadi,India
i,Ratlam,Ratlami,India
i,Szekesfehervar,Szekesfehervari,Hungary
n,Brahmanbaria,Brahmanbarian,Bangladesh
ian,Plymouth,Plymothian,United Kingdom
ser,Bergen,Bergenser,Norway
ian,Venice,Venetian,Italy
ano,Olongapo,Olongapeano,Philippines
ian,Derby,Derbeian,United Kingdom
ese,Verona,Veronese,Italy
ense,Gravatai,Gravataiense,Brazil
ano,Campeche,Campechano,Mexico
ian,Mawlamyine,Moulmeinian,Myanmar
on,Tacloban,Taclobanon,Philippines
ian,Visalia,Visalian,United States
ite,Katihar,Katiharites,India
ian,Saskatoon,Saskatonian,Canada
i,Jessore,Jashorie,Bangladesh
an,Thoothukudi,Thoothukudian,India
aar,Eindhoven,Eindhovenaar,Netherlands
er,Sandnes,Sandneser,Norway
er,Groningen,Groninger,Netherlands
karan,Kannur,Kannurkaran,India
ano,Machala,Machaleano,Ecuador
n,Granada,Granadan,Spain
ese,Messina,Messinese,Italy
ian,Badalona,Badalonian,Spain
ense,Arapiraca,Arapiraquense,Brazil
ian,Raichur,Raichurians,India
ian,Rancagua,Ranquiguaian,Chile
a,Barisal,Barisailla,Bangladesh
ano,Toluca,Toluqueano,Mexico
anon,Ormoc,Ormocanon,Philippines
er,Singkawang,Singkawanger.,Indonesia
i,Nadiad,Nadiadi,India
ese,Navarre,Navarrese,United States
er,Tilburg,Tilburger,Netherlands
i,Sambhal,Sambhali,India
n,Damietta,Damiettan,Egypt
ense,Oviedo,ovetense,Spain
ian,Luton,Lutonian,United Kingdom
ian,Norwich,Norvician,United Kingdom
ano,Ayacucho,Ayacuchano,Peru
i,Monghyr,Mungeri,India
n,Geneva,Genevan,Switzerland
ense,El Tigre,Tigrense,Venezuela
ian,Tumaco,Tumaquian,Colombia
ian,Deltona,Deltonian,United States
on,Pagadian,Pagadianon,Philippines
an,Panabo,Panaboan,Philippines
an,Solihull,Silhillian,United Kingdom
ite,Yonkers,Yonkersite,United States
ite,Dindigul,Dindigulite,India
ino,Talca,Talquino,Chile
ino,Trieste,Triestino,Italy
i,Zanzibar,Zanzibari,Tanzania
an,Amarillo,Amarilloan,United States
an,Coquimbo,Coquimban,Chile
ian,Aberdeen,Aberdonians,United Kingdom
ian,Luxor,Luxorian,Egypt
ian,Cosenza,Cosentians,Italy
no,Cajamarca,Cajamarquino,Peru
ense,Almeria,almerienses,Spain
ino,Taranto,Tarantino,Italy
ano,Huanuco,huanuqueano,Peru
kar,Shrirampur,Shrirampurkar,India
no,Brescia,Bresciano,Italy
i,Suhaj,Sohagi,Egypt
ano,Koronadal,Koronadaleano,Philippines
er,Trondheim,Trondheimer,Norway
ense,Guanajuato,Guanajuatense,Mexico
ian,Hagerstown,Hagerstonian,United States
ense,Castanhal,castanhalense,Brazil
ano,Guanare,Guanareano,Venezuela
ense,Leganes,Leganense,Spain
no,Valera,Valerano,Venezuela
i,Jhelum,Jhelumi,Pakistan
ano,Digos,Digoseano,Philippines
naar,Breda,Bredanaar,Netherlands
ense,Getafe,getafense,Spain
ense,Modena,Modenese,Italy
er,Basel,Basler,Switzerland
ite,Geelong,Geelongite,Australia
kar,Kottayam,Kottayamkar,India
ense,Cuautitlan,Cuautitlense,Mexico
aner,Odense,Odenseaner,Denmark
ais,Toulon,Toulonnais,France
aar,Nijmegen,Nijmegenaar,Netherlands
kar,Mahad,Mahadkar,India
ano,Paita,Paiteano,Peru
ite,Unnao,Unnaoites,India
es,Burgos,Burgales,Spain
an,Cuddalore,Cuddalorean,India
ero,Alcorcon,alcorconero,Spain
an,Ontario,Ontarian,United States
ano,Chetumal,Chetumaleano,Mexico
ero,Carupano,Carupanero,Venezuela
ense,Luziania,luzianiense,Brazil
i,Ratnapura,Ratanpuri,Sri Lanka
ian,Silchar,Silcharian,India
i,Bidar,Bidri,India
ano,Baliuag,Baliwageano,Philippines
ian,Valsad,Valsadians,India
er,Haarlem,Haarlemmer,Netherlands
ite,Adoni,Adonite,India
ano,Ipiales,Ipialeano,Colombia
ian,Idlib,Idlibian,Syria
ite,Kanchipuram,kanchipuramites,India
an,Kandy,Kandyan,Sri Lanka
ero,Cienfuegos,Cienfuegueros,Cuba
no,Tunja,Tunjano,Colombia
ense,Anaco,Anaquense,Venezuela
hin,Sariaya,Sariayahin,Philippines
ian,Chittoor,Chitoorian,India
ano,Kidapawan,Kidapaweano,Philippines
ense,Pindamonhangaba,Pindamonhangabense,Brazil
er,Enschede,Enschedeer,Netherlands
i,Budaun,Badayuni,India
er,Amersfoort,Amersfoorter,Netherlands
si,Livorno,Livornesi,Italy
ate,Ravenna,Ravennate,Italy
i,Bharuch,Bharuchi,India
no,Ilagan,Ilagueano,Philippines
iya,Pathankot,Pathankotiya,India
ano,Cagliari,Cagliaritano,Italy
ian,Nalgonda,Nalgondians,India
ian,Jorhat,Jorhatian,India
i,Hajipur,Hajipuri,India
ian,Dibrugarh,Dibrugarhian,India
ense,Colima,Colimense,Mexico
ense,Barreiras,Barreirense,Brazil
ense,Kanasin,kanasinense,Mexico
n,Pasadena,Pasadenan,United States
n,Foggia,Foggians,Italy
i,Miskolc,miskolci,Hungary
ois,Nimes,Nimois,France
ense,Rimini,Riminese,Italy
i,Szombathely,szombathelyi,Hungary
ian,Negombo,Negombians,Sri Lanka
ano,Calapan,Calapeano,Philippines
an,Larisa,Larissean,Greece
ian,Abohar,Aboharias,India
no,Parnaiba,Parnaibano,Brazil
enser,Aalborg,Aalborgenser,Denmark
ano,Bocaue,Bocaueano,Philippines
ite,Shillong,Shillongite,India
ois,Lausanne,Lausannois,Switzerland
ra,Paranagua,Parnanguara,Brazil
ano,Yaritagua,Yaritagueano,Venezuela
ano,Fusagasuga,fusagasugueano,Colombia
gian,Dawei,Dawegian,Myanmar
i,Pakpattan,Pakpattni,Pakistan
ense,Botucatu,botucatuense,Brazil
ien,Jacmel,Jacmelien,Haiti
ense,Garanhuns,garanhuense,Brazil
eano,Parla,Parleano,Spain
ano,Salerno,Salernitano,Italy
ero,Rionegro,Rionegrero,Colombia
ian,Brighton,Brightonian,United Kingdom
esi,Ferrara,Ferraresi,Italy
ite,Guelph,Guelphite,Canada
n,Guagua,Guaguan,Philippines
non,Silay,Silaynon,Philippines
nian,Batticaloa,Batticalonian,Sri Lanka
nian,Yakima,Yakimanian,United States
aar,Leiden,Leidenaar,Netherlands
ero,Tariba,Taribero,Venezuela
esi,Monza,Monzesi,Italy
ano,Cagua,cagueano,Venezuela
ian,Colchester,Colcestrian,United Kingdom
ense,Porlamar,Porlamarense,Venezuela
ano,Magangue,Magueano,Colombia
n,Zacatecas,Zacatecan,Mexico
n,Kenosha,Kenoshan,United States
ian,Blackburn,Blackburnian,United Kingdom
esi,Pescara,Pescaresi,Italy
ak,Fier,Fierak,Albania
iya,Ghazipur,Ghazipuriya,India
seano,Apartado,Apartadoseano,Colombia
ais,Perpignan,Perpignanais,France
ais,Orleans,Orleanais,France
naar,Dordrecht,Dordtenaar,Netherlands
ense,Charallave,Charallavenses,Venezuela
ini,Trento,Trentini,Italy
ense,Votorantim,Votorantinense,Brazil
esi,Forli,Forlivesi,Italy
i,Adilabad,Adilabadi,India
kar,Yavatmal,Yavatmalkar,India
esi,Sassari,Sassaresi,Italy
ense,Uba,Ubaense,Brazil
i,Osmanabad,Osmanabadi,India
ini,Vicenza,Vicentini,Italy
ia,Balangir,Bolangiria,India
nian,Carora,carorenian,Venezuela
eano,Kawit,Kawiteano,Philippines
ense,Araruama,Araruamense,Brazil
ani,Terni,Ternani,Italy
ense,Parintins,parintinense,Brazil
eano,Pulilan,Pulileano,Philippines
er,Winterthur,Winterthurer,Switzerland
ian,Nawada,Nawadian,India
i,Muktsar,Muktsari,India
i,Fasa,Fasa'i,Iran
eno,Quibor,Quiboreno,Venezuela
non,Tacurong,Tacurongnon,Philippines
ian,Quezon,Quezonian,Philippines
on,Bayugan,Bayuganon,Philippines
ense,Lingayen,Lingayenense,Philippines
can,Zilina,zilincan,Slovakia
as,Ferizaj,Ferizajas,Kosovo
ian,Salford,Salfordian,United Kingdom
enc,Reus,Reusenc,Spain
ian,Moncton,Monctonian,Canada
ian,Jalpaiguri,Jalpaigurians,India
er,Thunder Bay,Thunder Bayer,Canada
ini,Bolzano,bolzanini,Italy
in,Tiaong,Tiaongin,Philippines
on,Catbalogan,Catbaloganon,Philippines
ian,Roubaix,Roubaisian,France
ense,Vespasiano,vespasianense,Brazil
an,Ourense,ourensan,Spain
i,Girona,Gironi,Spain
ese,Novara,Novarese,Italy
ien,Nanterre,Nanterriens,France
ense,Arapongas,araponguense,Brazil
on,Sindangan,Sindanganon,Philippines
ino,Piacenza,Piacentino,Italy
an,Chaguanas,Chaguanans,Trinidad and Tobago
i,Bahrain,Bahraini,Pakistan
ian,Charlottesville,Charlottesvillian,United States
tani,Ancona,Anconetani,Italy
er,Holland,Hollander,United States
ian,Kamloops,Kamloopsian,Canada
