,city,term,country,suffix
1880,chelmsford,chelmsfordian,,ian
2547,shrewsbury,salopian,,ian
772,runcorn,runcornian,United Kingdom,ian
1962,leeds,leodensian,,ian
1552,bolivia,bolivian,Cuba,ian
2011,omak,omakian,,ian
1722,grand rapids,grand rapidian,United States,ian
3155,dhuburi,dhubrian,India,ian
3325,puduvayal,puduvayalian,India,ian
553,luxor,luxorian,Egypt,ian
2929,etawah,etawian,India,ian
2542,rockwall county,rockwallian,,ian
3307,dirba,dirbian,India,ian
510,saskatoon,saskatonian,Canada,ian
2461,bareilly,bareillia,,ian
1881,cheltenham,cheltonian,,ian
2560,wellington,wellingtonian,,ian
904,arbroath,arbroathian,United Kingdom,ian
2490,darwin,darwinian,,ian
2543,saint petersburg,saint petersburgians,,ian
1984,megara,megarian,,ian
2494,edmonton,edmontonian,,ian
2477,canary,canarian,,ian
1986,memphis,memphian,,ian
1929,hanover,hanoverian,,ian
2545,saskatoon,saskatonian,,ian
2482,cedar rapids,cedar rapidian,,ian
273,tucson,tucsonian,United States,ian
1371,sevenoaks,sennockian,United Kingdom,ian
2504,houston,houstonian,,ian
1952,kingston,kingstonian,,ian
3250,svishtov,svishtovian,Bulgaria,ian
2449,palestine,palestinian,,ian
423,scranton,scrantonian,United States,ian
779,wellingborough,wellingburian,United Kingdom,ian
2754,reading,readingensian,,ian
2031,port moresby,port moresbian,,ian
66,busan,busanian,South Korea,ian
2965,barrie,barrian,Canada,ian
2486,chittagong,chittagonian,,ian
1838,almera,almerian,,ian
1706,healdsburg,healdsburgian,United States,ian
1891,darwin,darwinian,,ian
1905,erzurum,erzurumian,,ian
120,san antonio,san antonian,United States,ian
2108,van,vanian,,ian
712,roubaix,roubaisian,France,ian
541,deltona,deltonian,United States,ian
291,nottingham,nottinghamian,United Kingdom,ian
2456,argyll,argathelian,,ian
1864,bolton,boltonian,,ian
3162,widnes,widnesian,United Kingdom,ian
2941,evansville,evansvillian,United States,ian
1951,kayseri,kayserian,,ian
2440,ecuador,ecuadorian,,ian
2532,perak,perakian,,ian
2035,preston,prestonian,,ian
1933,hobart,hobartian,,ian
607,chittoor,chitoorian,India,ian
2107,tyre,tyrian,,ian
1851,ashkelon,ashkelonian,,ian
2479,cape town,capetonian,,ian
1565,lewes,lewesian,United Kingdom,ian
19,paris,parisian,France,ian
622,dibrugarh,dibrugarhian,India,ian
2537,podgorica,podgorician,,ian
498,plymouth,plymothian,United Kingdom,ian
2553,tanintharyi,tanintharian,,ian
958,carnoustie,carnoustian,United Kingdom,ian
2508,kachin,kachinian,,ian
663,colchester,colcestrian,United Kingdom,ian
1489,oregon,oregonian,United States,ian
2933,mckinney,mckinnian,United States,ian
2523,memphis,memphian,,ian
2944,tiptur,tipturians,India,ian
668,blackburn,blackburnian,United Kingdom,ian
2533,peterborough,peterborian,,ian
482,ismailia,ismailian,Egypt,ian
203,changwon,changwonian,South Korea,ian
285,krakow,cracovian,Poland,ian
1490,kittur,kitturian,India,ian
952,bartica,bartician,Guyana,ian
1904,epidaurus,epidaurian,,ian
1958,lancaster,lancastrian,,ian
1902,eilat,eilatian,,ian
479,bradford,bradfordian,United Kingdom,ian
2469,boston,bostonian,,ian
3163,reston,restonian,United States,ian
2546,savannah,savannahian,,ian
2985,sibiu,sibian,Romania,ian
2443,gibraltar,gibraltarian,,ian
2534,phoenix,phoenician,,ian
2493,duluth,duluthian,,ian
1076,hengelo,hengolian,Netherlands,ian
1560,leixlip,leixlipian,Ireland,ian
3346,baghduma,baghdumian,India,ian
2962,barakpur,barrakpurian,India,ian
2025,peterborough,peterbourian,,ian
2039,pylos,pylian,,ian
593,silchar,silcharian,India,ian
2555,thrace,thracian,,ian
2014,oshawa,oshawian,,ian
1152,chalkida,chalcidian,Greece,ian
2556,towcester,towcestrian,,ian
2433,belarus,belarusian,,ian
2470,bracknell,bracknellian,,ian
2524,michigan,michiganians,,ian
2562,yukon,yukonian,,ian
2495,fort worth,fort worthian,,ian
2437,cayman islands,caymanian,,ian
2552,swindon,swindonian,,ian
791,florida,floridian,Argentina,ian
1896,devonport,devonportian,,ian
2450,peru,peruvian,,ian
3355,navipet,navipetian,India,ian
2471,bradford,bradfordian,,ian
3297,jevargi,jevargian,India,ian
2507,jessup,jessupian,,ian
2049,reykjavi­k,reykjavikian,,ian
2453,ukraine,ukrainian,,ian
1853,balikesir,balikesirian,,ian
1287,bartlesville,bartian,United States,ian
1948,kansas city,kansas citian,,ian
2430,azerbaijan,azerbaijanians,,ian
2047,rethymno,rethymnian,,ian
814,worksop,worksopian,United Kingdom,ian
929,greystones,greystonian,Ireland,ian
2030,ponferrada,ponferradian,,ian
2540,rochdale,rochdalian,,ian
2983,lake charles,lake charlesian,United States,ian
1123,bundaberg,bundabergian,Australia,ian
2457,athens,athenian,,ian
2549,solihull,silhillian,,ian
737,chester,cestrian,United Kingdom,ian
2510,kingston,kingstonian,,ian
2539,rivers state,riverian,,ian
1248,charlottetown,charlottetonian,Canada,ian
2503,hesse,hessian,,ian
329,glasgow,glaswegian,United Kingdom,ian
3101,milford,milfordian,United Kingdom,ian
472,montpellier,montpellirian,France,ian
2455,alabama,alabamian,,ian
565,hagerstown,hagerstonian,United States,ian
2093,taunton,tauntonian,,ian
1912,finchley,finchleian,,ian
1839,alpine,alpinian,,ian
128,brussels,brusselian,Belgium,ian
267,fort worth,fort worthian,United States,ian
233,wellington,wellingtonian,New Zealand,ian
1874,cardiff,cardiffian,,ian
1475,baroda,barodian,India,ian
2536,port harcourt,harcourtian,,ian
2483,chelmsford,chelmsfordian,,ian
2016,oswestry,oswestrian,,ian
652,brighton,brightonian,United Kingdom,ian
347,bristol,bristolian,United Kingdom,ian
2083,springfield,springfieldian,,ian
2512,lancashire,lancastrian,,ian
2518,madison,madisonian,,ian
1895,derry,derrian,,ian
319,sargodha,sargodhian,Pakistan,ian
2527,new guinea,new guinian,,ian
1978,marathon,marathonian,,ian
2454,aarhus,aarhusian,,ian
2119,wythenshawe,wythenshavian,,ian
2550,south carolina,south carolinian,,ian
55,izmir,izmirian,Turkey,ian
2428,yuma,yumian,,ian
2984,naperville,napervillian,United States,ian
704,salford,salfordian,United Kingdom,ian
2034,portsmouth,portsmouthian,,ian
2561,wilmington,wilmingtonian,,ian
2001,nassau,nassuvian,,ian
1879,charleston,charlestonian,,ian
694,nawada,nawadian,India,ian
2464,belgrade,belgradian,,ian
2007,northampton,northamptonian,,ian
434,pensacola,pensacolian,United States,ian
339,tumkur,tumkurian,India,ian
246,bareilly,bareillian,India,ian
2439,comoros,comorian,,ian
2499,harrow,harrovian,,ian
1954,kocaeli,kocaelian,,ian
2980,champaign,champaignian,United States,ian
230,cape town,capetonian,South Africa,ian
2529,north carolina,north carolinian,,ian
2043,rangpur,rongpuri  rangpuri,,ian
2432,barbados,barbadians,,ian
2460,ballarat,ballaratian,,ian
1849,armidale,armidilian,,ian
2958,richmond hill,richmond hillian,Canada,ian
1369,redondela,redondeian,Spain,ian
440,antofagasta,antofagastian,Chile,ian
1271,waxahachie,waxahachian,United States,ian
1136,kazanlak,kazanlakian,Bulgaria,ian
3244,sainthia,sainthian,India,ian
102,baku,bakuvian,Azerbaijan,ian
2498,hamilton,hamiltonian,,ian
3118,northbrook,northbrookian,United States,ian
459,asheville,ashevillan,United States,ian
2472,brighton,brightonian,,ian
166,rajkot,rajkotian,India,ian
1834,aarhus,aarhusian,,ian
313,wroclaw,wroclawian,Poland,ian
3084,port chester,port chesterian,United States,ian
2541,rockwall,rockwallian,,ian
2009,oakbank,oakbankian,,ian
2451,saint vincent,vincentian,,ian
2930,puducherry,puducherrian,India,ian
2509,kansas city,kansas citian,,ian
2059,saint helier,saint helian,,ian
1979,mardin,mardinian,,ian
1993,mugla,mughlanian,,ian
2467,blackpool,blackpudlian,,ian
3077,park ridge,park ridgian,United States,ian
2113,washington  d c,washingtonian,,ian
3310,belari,ballarians,India,ian
3081,huntington,huntingtonian,United States,ian
2475,burgundy,burgundian,,ian
2522,melbourne,melburnian,,ian
2441,egypt,egyptian,,ian
1956,kuala lumpur,kuala lumpurian,,ian
1848,armagh,armachian,,ian
326,benghazi,benghazian,Libya,ian
2010,oamaru,oamaruvian,,ian
1927,halifax,haligonian,,ian
2481,catalonia,catalonian,,ian
2431,bahamas,bahamian,,ian
726,kamloops,kamloopsian,Canada,ian
361,agartala,agartalian,India,ian
11,lagos,lagosian,Nigeria,ian
3299,muttupet,muthupettaiyan,India,ian
343,bakersfield,bakersfieldian,United States,ian
540,tumaco,tumaquian,Colombia,ian
1967,liberal,liberarian,,ian
261,new orleans,new orleanian,United States,ian
2435,brazil,brazilian,,ian
2538,prince george s county,prince georgian,,ian
620,jorhat,jorhatian,India,ian
2511,laguna,lagunians,,ian
3221,sibsagar,sivsagarian,India,ian
348,asansol,asansolians,India,ian
2517,louisville,louisvillian,,ian
2436,cameroon,cameroonian,,ian
2085,swindon,swindonian,,ian
159,belgrade,belgradian,Serbia,ian
2487,christchurch,christchurchian,,ian
600,idlib,idlibian,Syria,ian
2559,washington,washingtonian,,ian
2445,iran,iranian,,ian
1862,bnei brak,bnei brakian,,ian
2500,hartlepool,hartlepudlian,,ian
3322,ratnapuram,ratnapurian,India,ian
1250,pahrump,pahrumpian,United States,ian
2478,canterbury,cantabrian,,ian
3295,mangaldai,mangaldaian,India,ian
2491,dayton,daytonian,,ian
2094,tauranga,taurangian,,ian
372,tinnevelly,tirunelvelian,India,ian
2535,plymouth,plymothian,,ian
346,durgapur,durgapurian,India,ian
1882,chesterfield,cestrefeldian,,ian
1921,gosford,gosfordian,,ian
3342,halgur,halagurian,India,ian
1917,germiston,germistonian,,ian
1870,cambridge,cantabrigian,,ian
415,kakinada,kakinadian,India,ian
342,brampton,bramptonian,Canada,ian
2516,lexington,lexingtonian,,ian
2054,rochester,rochesterian,,ian
2114,waterbury,waterburian,,ian
198,chandigarh,chandigarhian,India,ian
2485,chin state,chinian,,ian
1847,arlington,arlingtonian,,ian
2448,maldives,maldivian,,ian
1928,hamilton,hamiltonian,,ian
2557,truro,truronian,,ian
2465,bermuda,bermudian,,ian
3023,duluth,duluthian,United States,ian
2515,lethbridge,lethbridgian,,ian
2429,artsakh,artsakhian,,ian
2480,castile,castilian,,ian
1667,grenada,grenadian,United States,ian
1168,fredericton,frederictonian,Canada,ian
1720,peru,peruvian,United States,ian
2531,perlis,perlisian,,ian
699,quezon,quezonian,Philippines,ian
2544,sarawak,sarawakian,,ian
596,valsad,valsadians,India,ian
2502,herzegovina,herzegovinian,,ian
2002,nelson,nelsonian,,ian
944,kukes,kuksian,Albania,ian
3356,belhatti,belhattian,India,ian
195,nashville,nashvillian,United States,ian
1918,ghent,ghentian,,ian
502,derby,derbeian,United Kingdom,ian
729,kohima,kohimian,India,ian
2442,ghana,ghanaian,,ian
2520,maharashtra,maharashtrians,,ian
3267,golaghat,golaghatian,India,ian
707,jalpaiguri,jalpaigurians,India,ian
107,las vegas,las vegan,United States,an
588,ontario,ontarian,United States,an
2186,latvia,latvian,,an
2257,carinthia,carinthian,,an
202,voronezh,voronezhan,Russia,an
1234,manacor,manacoran,Spain,an
2315,ontario,ontarian,,an
2361,baltimore,baltimorean,,an
2191,malaysia,malaysian,,an
2291,malacca,malaccan,,an
1831,pilibhit,pilbhitian,India,an
2249,bangka island,bangkan,,an
2218,serbia,serbian,,an
2399,ngawi city,ngawian,,an
2327,slavonia,slavonian,,an
2185,laos,laos,,an
1977,maputo,maputan,,an
2357,alexandria,alexandrian,,an
43,nairobi,nairobian,Kenya,an
328,mangalore,mangalorean,India,an
2164,estonia,estonian,,an
2409,salem,salemian,,an
2393,mecca,meccan,,an
2290,madeira,madeiran,,an
106,harare,hararean,Zimbabwe,an
2422,toledo  ohio,toledoan,,an
2134,central america,central american,,an
2328,south australia,south australian,,an
36,singapore,singaporean,Singapore,an
117,orlando,orlandoan,United States,an
2256,canterbury,cantabrian,,an
512,thoothukudi,thoothukudian,India,an
2235,uruguay,uruguayan,,an
2150,brunei,bruneian,,an
550,amarillo,amarilloan,United States,an
2080,soweto,sowetan,,an
2320,pennsylvania,pennsylvanian,,an
2228,tanzania,tanzanian,,an
177,honduras,honduran,United States,an
2163,eritrea,eritrean,,an
2141,angola,angolan,,an
171,adelaide,adelaidean,Australia,an
71,san francisco,san franciscan,United States,an
2415,sioux city,sioux cityan,,an
2062,salvador,salvadoran,,an
2237,venezuela,venezuelan,,an
2426,valencia,valencian,,an
2128,antarctica,antarctican,,an
2091,tartu,tartuan,,an
2178,israel,israeli,,an
2910,timisoara,timisorean,Romania,an
3176,alcoy,alcoyan,Spain,an
2350,wallachia,wallachian,,an
2165,ethiopia,ethiopian,,an
2306,new jersey,new jerseyan,,an
2407,rome,roman,,an
2151,bulgaria,bulgarian,,an
2995,curico,curican,Chile,an
2406,riga,rigan,,an
2405,regina,reginan,,an
2205,nigeria,nigerian,,an
2075,shkoder,shkodran,,an
